"Date","CountYear","LowTemp.F","HighTemp.F","AMCloud","PMClouds","AMRain","PMRain","AMSnow","PMSnow","participants","total_hrs","calendar_year","Accipiter sp.","American Black Duck","American Coot","American Crow","American Goldfinch","American Kestrel","American Pipit","American Robin","American Tree Sparrow","American Wigeon","American Woodcock","Bald Eagle","Barn Owl","Barred Owl","Belted Kingfisher","Black Vulture","blackbird sp.","Blue Jay","Bonaparte's Gull","Brown-headed Cowbird","Brown Creeper","Brown Thrasher","Bufflehead","Cackling Goose","Canada Goose","Canvasback","Carolina Chickadee","Carolina Wren","Cedar Waxwing","Chipping Sparrow","Common Goldeneye","Common Grackle","Common Loon","Common Merganser","Common Raven","Common Yellowthroat","Cooper's Hawk","crow sp.","Dark-eyed Junco (Slate-colored)","Double-crested Cormorant","Downy Woodpecker","Eastern Bluebird","Eastern Meadowlark","Eastern Phoebe","Eastern Screech-Owl","Eastern Towhee","Eurasian Wigeon","European Starling","Evening Grosbeak","Field Sparrow","Fish Crow","Fox Sparrow","Gadwall","Glaucous Gull","Golden-crowned Kinglet","Gray Catbird","Great Black-backed Gull","Great Blue Heron (Blue form)","Great Cormorant","Great Egret","Great Horned Owl","Greater Scaup","Greater White-fronted Goose","Green-winged Teal (American)","gull sp.","Hairy Woodpecker","Henslow's Sparrow","Hermit Thrush","Herring Gull","Hooded Merganser","Horned Grebe","Horned Lark","House Finch","House Sparrow","House Wren","Killdeer","Lapland Longspur","Laughing Gull","Lesser Black-backed Gull","Lesser Scaup","Lincoln's Sparrow","Loggerhead Shrike","Long-eared Owl","Mallard","Merlin","Mourning Dove","Mute Swan","Northern Bobwhite","Northern Cardinal","Northern Flicker (Yellow-shafted)","Northern Harrier","Northern Mockingbird","Northern Pintail","Northern Saw-whet Owl","Northern Shoveler","Pacific/Winter Wren","Palm Warbler","Pied-billed Grebe","Pileated Woodpecker","Pine Siskin","Pine Warbler","Purple Finch","Red-bellied Woodpecker","Red-breasted Merganser","Red-breasted Nuthatch","Red-headed Woodpecker","Red-shouldered Hawk","Red-tailed Hawk","Red-winged Blackbird","Redhead","Ring-billed Gull","Ring-necked Duck","Ring-necked Pheasant","Rock Pigeon (Feral Pigeon)","Rough-legged Hawk","Ruby-crowned Kinglet","Ruddy Duck","Rusty Blackbird","Sandhill Crane","Savannah Sparrow","Sharp-shinned Hawk","Short-eared Owl","Snow Bunting","Snow Goose","Song Sparrow","Swamp Sparrow","Thayer's Gull","Townsend's Solitaire","Trumpeter Swan","Tufted Titmouse","Tundra Swan","Turkey Vulture","White-breasted Nuthatch","White-crowned Sparrow","White-throated Sparrow","Wild Turkey","Wilson's Snipe","Wilson's/Common Snipe","Winter Wren","Wood Duck","Yellow-bellied Sapsucker","Yellow-rumped Warbler (Myrtle)"
1999-12-21,"100",25,42,"Cloudy","Cloudy","None","None","None","None",NA,121.5,"1999","","164","6","894","382","21","1","418","19","107","","10","","cw","10","98","","238","1","3","9","","228","","4651","3","347","139","245","","11","15056","","143","4","","5","","1207","1","94","291","48","4","5","4","","7054","","74","16","3","161","","6","","8","16","","","1","","","51","","16","","26","404","116","9","60","181","68","","87","","","","22","","","","299","","455","14","8","385","137","2","164","3","","15","2","","8","36","","","48","105","","14","2","18","55","20015","3","216","946","","129","","1","362","","","20","5","1","1","","282","15","","","","192","12","354","123","78","858","cw","","4","","6","29","265"
2000-12-17,"101",30,51,"Cloudy","Cloudy","Heavy","Light","None","Light",NA,136.4,"2000","","72","3","2279","488","26","15","794","9","97","","13","1","1","16","372","","603","","96","9","","140","","9303","23","528","226","1934","19","","67","1","312","13","","7","647","1542","","101","456","106","11","3","19","","2596","","95","23","3","169","","138","1","3","12","","","6","","","41","","21","","24","122","149","","2","295","63","","19","","","","4","","1","","373","","534","5","16","561","24","5","189","14","","7","4","","10","35","1","2","10","156","","8","3","28","87","701","4","1440","1230","","321","","40","18","11","","44","16","","","","530","42","","","","317","73","588","99","134","968","1","","8","","11","51","381"
2001-12-16,"102",25,55,"Partly Cloudy","Partly Cloudy","Light
None","None","None","None",NA,164.25,"2001","1","93","","1857","541","18","51","1725","18","95","2","7","3","9","19","239","","734","","928","14","1","193","","6381","12","789","309","365","","4","71074","","14","13","1","8","446","2057","2","225","722","40","17","30","30","1","15397","","109","52","15","140","","126","5","9","18","","","10","","1","27","","33","1","52","184","120","","1","491","95","","75","","","cw","63","","","","225","1","603","1","","653","257","4","331","2","1","18","7","","14","59","","","42","222","1","11","10","55","107","1330","1","99","637","3","355","","34","8","","","110","16","","","","679","25","","","","567","49","644","218","29","1132","15","","3","","7","100","149"
2002-12-15,"103",32,53,"Partly Cloudy","Partly Cloudy","None","None","None","None",NA,156.5,"2002","","56","","1448","393","24","66","4353","5","65","1","14","","5","15","247","","667","","156","19","1","114","","12995","5","534","259","2633","","","97","cw","453","7","","8","163","1301","2","179","855","54","7","8","16","1","4361","","191","125","7","136","","79","3","58","17","","","4","","1","19","","25","","71","292","142","","20","367","148","","1","1","","8","11","","","","472","1","568","4","8","675","229","12","335","7","2","","7","","8","38","","","3","250","cw","","6","81","98","51","2","1137","1059","","284","","15","60","2","","22","22","","","1","437","39","","","","358","11","453","178","29","1199","17","","","","6","80","363"
2003-12-21,"104",25,50,"Clear","Clear","None","None","None","None",NA,150,"2003","1","113","1","904","264","18","2","774","9","148","","16","","8","6","152","","629","","42","15","3","144","","9453","2","319","117","392","1","","21025","","287","2","","9","12","1780","","132","213","3","1","10","31","1","10727","","92","55","3","215","","53","1","61","25","","","14","","","14","","18","","25","520","92","","4","68","166","","10","","","11","15","","","","651","2","270","5","1","775","111","18","199","45","","2","7","","6","30","","1","46","184","","2","3","41","88","3251","","601","1295","","255","","35","2","5","","5","11","","","","481","25","","","","184","18","461","132","77","1183","9","5","","","","81","296"
2004-12-19,"105",19,40,"Cloudy","Cloudy","None","None","None","None",NA,143,"2004","1","35","1","674","448","17","","308","8","77","","16","1","7","12","302","","776","","14","11","","114","","9055","","337","239","89","","","21025","","75","8","","4","55","2406","2","148","168","10","3","24","19","cw","5210","","143","41","6","186","","68","","30","29","","","18","","1","10","","22","","15","303","79","","1","106","111","","35","","","3","1","","","","266","1","486","1","","836","148","","266","10","","","9","","4","35","","1","13","189","","11","1","75","99","1126","","1237","1015","","368","","18","19","","","29","8","","","","660","41","1","","","179","26","295","158","374","1356","3","1","","","","40","60"
2005-12-18,"106",27,44,"Partly Cloudy","Partly Cloudy","None","None","None","None",9,176.75,"2005","","66","1","980","440","29","21","568","12","140","","16","1","5","14","161","","788","","769","58","4","152","3","11558","13","545","332","979","7","1","21025","","410","23","1","5","66","1729","1","216","455","28","4","15","81","1","26255","","363","79","1","101","","204","5","16","21","","1","12","4","","6","","17","","68","218","83","","164","197","147","","3","","cw","1","19","","","","409","3","499","1","","587","114","5","208","9","1","1","11","","13","36","2","","94","203","","56","2","118","129","1499","","1910","1131","","194","","27","32","58","2","24","14","","","","1231","113","","","cw","312","15","304","217","81","1552","14","","","","1","71","471"
2007-12-16,"108",31,45,"Cloudy","Cloudy","Heavy","None","None","None",12,48,"2007","","36","1","376","84","10","","4395","7","64","","15","","2","8","65","","313","","276","1","2","117","1","6644","2","157","81","685","","1","","2","234","15","","2","","798","1","41","179","1","","3","8","","1312","","55","3","6","53","","37","2","","12","","","","","","","","4","","18","5","312","","","22","19","","7","","","1","4","","1","1","72","1","116","","","303","51","1","97","","","4","","","2","9","13","","25","72","","10","3","63","58","28","","252","558","","170","1","22","149","","","","3","","","","196","5","","","2","99","21","247","39","","911","cw","14","","","7","16","71"
2008-12-14,"109",22,45,"Partly Cloudy","Partly Cloudy","None","None","None","None",35,95,"2008","","51","2","554","258","13","","294","3","127","1","22","cw","4","4","124","","310","","","8","1","132","1","8313","4","359","155","328","29","","208","","2","6","","6","103","1043","","74","338","17","","13","5","","5984","","99","45","","18","","37","","32","18","","","9","","","49","","10","","7","81","160","","","323","70","","4","","","cw","6","","","1","336","1","136","1","","340","102","3","129","7","","","5","","4","13","5","","36","109","","1","cw","58","58","70","","652","529","","106","","20","61","","","1","6","","","1","301","16","","","3","213","11","335","90","17","499","cw","2","","","11","26","175"
2010-12-19,"111",23,37,"Cloudy","Cloudy","None","None","None","None",36,118.75,"2010","","101","","977","150","11","","341","15","65","","16","cw","5","5","228","","479","","22","6","","21","cw","9250","3","355","79","290","12","","2","","","11","","12","52","2192","","93","397","14","2","15","5","","1106","","60","82","cw","12","","5","","20","9","","","20","","","27","","17","","28","77","23","","30","141","97","","5","","","","","","","","337","2","341","1","","439","79","5","133","1","","","","","","36","3","1","16","150","","21","5","96","77","597","1","112","293","","290","","6","20","","","10","3","","","","375","26","","1","5","280","6","422","79","110","766","35","2","","3","","40","211"
