"","tau","p.value"
"Accipiter sp.",0,1
"American Black Duck",-0.395779741788315,0.0149081352302841
"American Coot",-0.186767322269921,0.288875724885973
"American Crow",-0.589473684210526,0.00027932087985766
"American Goldfinch",-0.313007257878119,0.0552071453120204
"American Kestrel",-0.434392855279481,0.00832354440575183
"American Pipit",-0.0400228767533714,0.813836294253432
"American Robin",-0.0315789473684211,0.845654661408584
"American Tree Sparrow",-0.530924600897144,0.00126464808715456
"American Wigeon",-0.402122030806041,0.013573174468742
"American Woodcock",0.125656172487509,0.498735035366122
"Bald Eagle",0.70397712111534,2.45925488074011e-05
"Barn Owl",-0.304438707836681,0.10135989258203
"Barred Owl",-0.189181060585383,0.262656064639289
"Belted Kingfisher",0.270369035217938,0.102684115643634
"Black Vulture",-0.0052770632238442,0.974104119139913
"blackbird sp.",0.32202241424687,0.0896068074614174
"Blue Jay",-0.147368421052632,0.363645822380336
"Bonaparte's Gull",-0.316227766016838,0.0994534797483087
"Brown-headed Cowbird",-0.202139098280772,0.216487507967205
"Brown Creeper",-0.299915737993067,0.0713571364696222
"Brown Thrasher",0.0617566395816515,0.729553593611709
"Bufflehead",-0.0795781164096913,0.625950445847206
"Cackling Goose",0.347284611304453,0.0540586411191902
"Canada Goose",-0.263157894736842,0.104757489849731
"Canvasback",-0.0765587618704662,0.645941543641803
"Carolina Chickadee",-0.374671488892938,0.0211801569001624
"Carolina Wren",0.221052631578947,0.172989709440166
"Cedar Waxwing",-0.263157894736842,0.104757489849731
"Chipping Sparrow",0.327323477105148,0.0513729008227965
"Common Goldeneye",-0.186765416898933,0.313219506470037
"Common Grackle",-0.422274542772453,0.0114680730222376
"Common Loon",0.0827512209742076,0.655430213885417
"Common Merganser",-0.340444797104457,0.0373833117459168
"Common Raven",0.40221560674026,0.0145228294866547
"Common Yellowthroat",-0.163232156274753,0.39509158490415
"Cooper's Hawk",-0.254152122626207,0.135696848621343
"crow sp.",-0.246020966158321,0.133797996059467
"Dark-eyed Junco (Slate-colored)",-0.326315789473684,0.0442678565201807
"Double-crested Cormorant",-0.111976335403524,0.527767892587702
"Downy Woodpecker",-0.184697212834547,0.255894596439627
